extension,qname
turkeymember,country:TR
turkmenistanmember,country:TM
turksandcaicosislandsmember,country:TC
tuvalumember,country:TV
ugandamember,country:UG
ukrainemember,country:UA
unitedarabemiratesmember,country:AE
unitedkingdommember,country:GB
unitedstatescountrymember,country:US
unitedstatesgeographicmember,country:US
unitedstatesgeographicregionmember,country:US
unitedstatesmember,country:US
unitedstatesofamericamember,country:US
uruguaymember,country:UY
usamember,country:US
usmember,country:US
utahmember,stpr:UT
uzbekistanmember,country:UZ
vanuatumember,country:VU
venezuelamember,country:VE
vermontmember,stpr:VT
vietnammember,country:VN
virginiamember,stpr:VA
wallisandfutunaislandsmember,country:WF
washingtonmember,stpr:WA
westernsaharamember,country:EH
westvirginiamember,stpr:WV
wisconsinmember,stpr:WI
wyomingmember,stpr:WY
yemenmember,country:YE
zambiamember,country:ZM
zimbabwemember,country:ZW
